timestamp(ms),DPTH.Depth,DPTH.Lng,DPTH.Lat
230028.372,2.498999834060669,-807317157,353037075
230128.372,2.493000030517578,-807317157,353037074
230228.372,2.491999864578247,-807317158,353037074
230328.372,2.488999843597412,-807317159,353037073
230428.372,2.4839999675750732,-807317159,353037073
230528.372,2.4800000190734863,-807317159,353037072
230628.372,2.4769999980926514,-807317160,353037071
230728.372,2.4749999046325684,-807317160,353037070
230828.372,2.4739999771118164,-807317160,353037069
230928.372,2.4730000495910645,-807317160,353037068
231028.372,2.4730000495910645,-807317160,353037067
231128.372,2.4789998531341553,-807317160,353037066
231228.372,2.4809999465942383,-807317159,353037065
231328.372,2.4719998836517334,-807317160,353037063
231428.372,2.4739999771118164,-807317160,353037062
231528.372,2.4739999771118164,-807317160,353037061
231628.372,2.4730000495910645,-807317160,353037060
231728.372,2.4739999771118164,-807317160,353037059
231828.372,2.4670000076293945,-807317160,353037057
231928.372,2.4619998931884766,-807317160,353037055
232028.372,2.4600000381469727,-807317160,353037054
232128.372,2.4579999446868896,-807317160,353037052
232228.372,2.4560000896453857,-807317160,353037050
232328.372,2.4649999141693115,-807317160,353037049
232428.372,2.4670000076293945,-807317160,353037047
232528.372,2.4709999561309814,-807317159,353037045
232628.372,2.4689998626708984,-807317158,353037041
232728.372,2.4700000286102295,-807317158,353037039
232828.372,2.4689998626708984,-807317158,353037037
232928.372,2.4630000591278076,-807317157,353037035
233028.372,2.4630000591278076,-807317157,353037032
233128.372,2.4600000381469727,-807317157,353037030
233228.372,2.4609999656677246,-807317156,353037028
233328.372,2.4560000896453857,-807317156,353037025
233428.372,2.4519999027252197,-807317155,353037023
233528.372,2.4560000896453857,-807317154,353037021
233628.372,2.453000068664551,-807317154,353037018
233728.372,2.4579999446868896,-807317153,353037016
233828.372,2.4549999237060547,-807317153,353037014
233928.372,2.4489998817443848,-807317153,353037010
234028.372,2.444999933242798,-807317153,353037007
234128.372,2.434999942779541,-807317153,353037006
234228.372,2.431999921798706,-807317153,353037004
234328.372,2.426999807357788,-807317153,353037004
234428.372,2.423999786376953,-807317153,353037004
234528.372,2.421999931335449,-807317153,353037006
234628.372,2.4179999828338623,-807317152,353037008
234728.372,2.4149999618530273,-807317152,353037009
234828.372,2.4149999618530273,-807317152,353037012
234928.372,2.4139997959136963,-807317152,353037015
235028.372,2.4110000133514404,-807317152,353037017
235128.372,2.4129998683929443,-807317152,353037019
235228.372,2.4129998683929443,-807317152,353037022
235328.372,2.4119999408721924,-807317152,353037026
235428.372,2.4139997959136963,-807317152,353037028
235528.372,2.4089999198913574,-807317152,353037031
235628.372,2.4099998474121094,-807317152,353037034
235728.372,2.4139997959136963,-807317152,353037037
235828.372,2.4169998168945312,-807317152,353037040
235928.372,2.4210000038146973,-807317152,353037043
